"id","variable","before_date","before_time","before_value","after_date","after_time","after_value","missing_date","imputed_time_str","imputed_value","imputation_method"
"AS14.03","appCat.office",2014-04-29,"2014-04-29 18:18:20",6.506,2014-05-01,"2014-05-01 17:00:17",29.208,2014-04-30,"2014-04-30 17:18:22",13.6827,"weighted_knn_time_weighted"
"AS14.03","appCat.other",2014-05-05,"2014-05-05 09:11:10",140.508,2014-05-07,"2014-05-07 08:41:09",168.965,2014-05-06,"2014-05-06 16:14:36",8.4947,"weighted_knn_time_weighted"
"AS14.03","appCat.social",2014-04-26,"2014-04-26 19:14:46",11.177,2014-04-28,"2014-04-28 16:25:15",5.665,2014-04-27,"2014-04-27 20:31:33",2.0628,"weighted_knn_time_weighted"
"AS14.03","appCat.travel",2014-03-23,"2014-03-23 10:17:49",32.334,2014-03-26,"2014-03-26 13:41:09",1.738,2014-03-24,"2014-03-24 19:07:15",45.2301,"weighted_knn_time_weighted"
"AS14.03","appCat.travel",2014-03-23,"2014-03-23 10:17:49",32.334,2014-03-26,"2014-03-26 13:41:09",1.738,2014-03-25,"2014-03-25 19:08:13",46.4929,"weighted_knn_incl_day1"
"AS14.03","appCat.travel",2014-04-02,"2014-04-02 08:42:37",14.516,2014-04-05,"2014-04-05 23:21:55",14.152,2014-04-03,"2014-04-03 08:42:44",26.4138,"weighted_knn_time_weighted"
"AS14.03","appCat.travel",2014-04-02,"2014-04-02 08:42:37",14.516,2014-04-05,"2014-04-05 23:21:55",14.152,2014-04-04,"2014-04-04 08:42:44",26.703,"weighted_knn_incl_day1"
"AS14.03","appCat.travel",2014-05-03,"2014-05-03 14:33:52",54.462,2014-05-05,"2014-05-05 17:13:11",70.925,2014-05-04,"2014-05-04 14:44:20",5.9512,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-03-26,"2014-03-26 07:51:08",1.585,2014-03-28,"2014-03-28 00:00:26",27.282,2014-03-27,"2014-03-27 11:52:10",14.44,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-03-28,"2014-03-28 00:00:26",27.282,2014-03-30,"2014-03-30 22:33:29",35.267,2014-03-29,"2014-03-29 22:04:08",35.6581,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-04-04,"2014-04-04 23:29:28",315.509,2014-04-06,"2014-04-06 22:50:56",23.094,2014-04-05,"2014-04-05 23:29:29",307.3404,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-04-12,"2014-04-12 22:17:14",21.096,2014-04-14,"2014-04-14 23:25:26",11.226,2014-04-13,"2014-04-13 22:17:15",94.3759,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-04-18,"2014-04-18 00:06:22",3.099,2014-04-20,"2014-04-20 15:23:01",12.211,2014-04-19,"2014-04-19 22:28:51",16.9718,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-04-20,"2014-04-20 15:23:01",12.211,2014-04-22,"2014-04-22 22:27:30",23.108,2014-04-21,"2014-04-21 16:23:13",104.593,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-04-25,"2014-04-25 23:37:05",33.193,2014-04-27,"2014-04-27 23:45:12",29.861,2014-04-26,"2014-04-26 23:37:23",27.0976,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-04-30,"2014-04-30 21:21:47",40.32,2014-05-03,"2014-05-03 23:14:29",15.146,2014-05-01,"2014-05-01 22:22:45",16.3306,"weighted_knn_time_weighted"
"AS14.03","appCat.unknown",2014-04-30,"2014-04-30 21:21:47",40.32,2014-05-03,"2014-05-03 23:14:29",15.146,2014-05-02,"2014-05-02 22:22:45",16.8006,"weighted_knn_incl_day1"
"AS14.03","appCat.utilities",2014-03-22,"2014-03-22 21:42:38",4.35,2014-03-24,"2014-03-24 17:00:09",5.136,2014-03-23,"2014-03-23 21:42:38",4.35,"copy_most_recent"
"AS14.03","appCat.utilities",2014-03-25,"2014-03-25 12:51:39",21.219,2014-03-27,"2014-03-27 09:38:49",13.124,2014-03-26,"2014-03-26 19:16:19",6.4036,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-03-28,"2014-03-28 08:57:47",7.045,2014-03-31,"2014-03-31 09:28:52",5.16,2014-03-29,"2014-03-29 12:52:51",7.507,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-03-28,"2014-03-28 08:57:47",7.045,2014-03-31,"2014-03-31 09:28:52",5.16,2014-03-30,"2014-03-30 12:53:51",6.9618,"weighted_knn_incl_day1"
"AS14.03","appCat.utilities",2014-03-31,"2014-03-31 09:28:52",5.16,2014-04-03,"2014-04-03 10:04:42",22.155,2014-04-01,"2014-04-01 10:35:52",5.3115,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-03-31,"2014-03-31 09:28:52",5.16,2014-04-03,"2014-04-03 10:04:42",22.155,2014-04-02,"2014-04-02 10:35:52",5.4187,"weighted_knn_incl_day1"
"AS14.03","appCat.utilities",2014-04-12,"2014-04-12 12:44:57",9.33,2014-04-14,"2014-04-14 21:00:23",17.303,2014-04-13,"2014-04-13 11:42:54",8.1874,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-04-14,"2014-04-14 21:00:23",17.303,2014-04-16,"2014-04-16 20:18:32",7.662,2014-04-15,"2014-04-15 20:03:25",16.5001,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-04-18,"2014-04-18 20:34:13",7.954,2014-04-21,"2014-04-21 17:58:30",5.461,2014-04-19,"2014-04-19 20:37:17",9.5065,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-04-18,"2014-04-18 20:34:13",7.954,2014-04-21,"2014-04-21 17:58:30",5.461,2014-04-20,"2014-04-20 20:38:19",10.1618,"weighted_knn_incl_day1"
"AS14.03","appCat.utilities",2014-04-25,"2014-04-25 12:11:32",10.174,2014-04-28,"2014-04-28 08:35:24",7.097,2014-04-26,"2014-04-26 13:17:31",9.5807,"weighted_knn_time_weighted"
"AS14.03","appCat.utilities",2014-04-25,"2014-04-25 12:11:32",10.174,2014-04-28,"2014-04-28 08:35:24",7.097,2014-04-27,"2014-04-27 13:18:31",9.4549,"weighted_knn_incl_day1"
